Key,Description,zh-CN,zh-TW,en-US,test
Button_BookDemo,Button BookDemo,预约演示,預約演示,Request Demo,test
Button_FreeTrial,Button FreeTrial,免费试用,免費試用,Free Trial,test
Footer_Column_Company,Footer Column Company,公司,公司,Company,test
Footer_Column_Product,Footer Column Product,产品,產品,Product,test
Footer_Column_Resources,Footer Column Resources,资源,資源,Resources,test
Footer_Copyright,Footer Copyright,© 2026 Vizzle Limited 炫幻视界有限公司 保留所有权利,© 2026 Vizzle Limited 炫幻視界有限公司 保留所有權利,© 2026 Vizzle Limited. All rights reserved.,test
Footer_Link_About,Footer Link About,关于我们,關於我們,About Us,test
Footer_Link_Blog,Footer Link Blog,技术博客,技術博客,Technical Blog,test
Footer_Link_Docs,Footer Link Docs,文档中心,文檔中心,Documentation Center,test
Footer_Link_FAQ,Footer Link FAQ,常见问题,常見問題,FAQ,test
Footer_Link_Help,Footer Link Help,帮助中心,幫助中心,Help Center,test
Footer_Link_Jobs,Footer Link Jobs,招贤纳士,招賢納士,Careers,test
Footer_Link_Partners,Footer Link Partners,合作伙伴,合作夥伴,Partners,test
Footer_Link_Privacy,Footer Link Privacy,隐私政策,隱私政策,Privacy Policy,test
Footer_Link_Terms,Footer Link Terms,服务条款,服務條款,Service Terms,test
Global_Form_Error_Required,Global Form Error Required,请填写必填字段,請填寫必填字段,Please fill in the required fields,test
Global_Form_Success_Message,Global Form Success Message,提交成功，我们将尽快与您联系,提交成功，我們將盡快與您聯繫,"Submission successful, we will contact you as soon as possible",test
Home_Advantage_Description,Home Advantage Description,我们专注于轻量化、简单化、低成本的3D管理解决方案，填补市场空白。,我們專注於輕量化、簡單化、低成本的3D管理解決方案，填補市場空白。,"We focus on lightweight, simplified, and low-cost 3D management solutions to fill market gaps.",test
Home_Advantage_Diff_Item1_Desc,Home Advantage Diff Item1 Desc,"聚焦""希望完成简单任务、快速看到效果""的用户，现有工具过于复杂，小问题无需专家操作。","聚焦""希望完成簡單任務、快速看到效果""的用戶，現有工具過於複雜，小問題無需專家操作。","Focus on users who ""want to complete simple tasks and see results quickly"". Existing tools are too complex, small problems do not require expert operation.",test
Home_Advantage_Diff_Item1_Title,Home Advantage Diff Item1 Title,针对层级不同,針對層級不同,Different target levels,test
Home_Advantage_Diff_Item2_Desc,Home Advantage Diff Item2 Desc,极致轻量和简单化，以最低的成本、最简单的操作，快速见效，不取代专业软件，填补市场空白。,極致輕量和簡單化，以最低的成本、最簡單的操作，快速見效，不取代專業軟體，填補市場空白。,"Extreme lightweight and simplification, with the lowest cost, simplest operation, quick results, not replacing professional software, filling market gaps.",test
Home_Advantage_Diff_Item2_Title,Home Advantage Diff Item2 Title,定位独特,定位獨特,Unique positioning,test
Home_Advantage_Diff_Item3_Desc,Home Advantage Diff Item3 Desc,采用轻量级硬件/云端模式，大幅降低用户营运成本，区别于竞品的重量级硬件投入。,採用輕量級硬體/雲端模式，大幅降低用戶營運成本，區別於競品的重量級硬體投入。,"Adopt lightweight hardware/cloud mode, significantly reducing user operating costs, different from competitors' heavy hardware investment.",test
Home_Advantage_Diff_Item3_Title,Home Advantage Diff Item3 Title,营运成本低,營運成本低,Low operating costs,test
Home_Advantage_Diff_Title,Home Advantage Diff Title,核心差异化,核心差異化,Core Differentiation,test
Home_Advantage_Subtitle,Home Advantage Subtitle,产品差异化与技术实力,產品差異化與技術實力,Product differentiation and technical strength,test
Home_Advantage_Tech_Item1_Desc,Home Advantage Tech Item1 Desc,透过优化让次级设备成为基建，降低成本及对第三方供应商的依赖，实现算力自给自足。,透過優化讓次級設備成為基建，降低成本及對第三方供應商的依賴，實現算力自給自足。,"Through optimization, make secondary equipment become infrastructure, reduce costs and dependence on third-party suppliers, achieve self-sufficiency in computing power.",test
Home_Advantage_Tech_Item1_Stats,Home Advantage Tech Item1 Stats,运算成本降低 90%,運算成本降低 90%,Computing cost reduced by 90%,test
Home_Advantage_Tech_Item1_Title,Home Advantage Tech Item1 Title,算力基建层优势,算力基建層優勢,Computing infrastructure layer advantages,test
Home_Advantage_Tech_Item2_Desc,Home Advantage Tech Item2 Desc,从基建层开始自行搭建，形成自给自足的基建与应用层，让应用成本更低、更可控。,從基建層開始自行搭建，形成自給自足的基建與應用層，讓應用成本更低、更可控。,"Build from the infrastructure layer, forming self-sufficient infrastructure and application layers, making application costs lower and more controllable.",test
Home_Advantage_Tech_Item2_Stats,Home Advantage Tech Item2 Stats,技术自主可控率 85%,技術自主可控率 85%,Technology self-control rate 85%,test
Home_Advantage_Tech_Item2_Title,Home Advantage Tech Item2 Title,全链路自主搭建,全鏈路自主搭建,Full-link independent construction,test
Home_Advantage_Tech_Title,Home Advantage Tech Title,技术实力,技術實力,Technical Strength,test
Home_Advantage_Title,Home Advantage Title,核心优势,核心優勢,Core Advantages,test
Home_Awards_Description,Home Awards Description,Vizzle凭借创新的轻量化AI 3D数码城市管理平台，获得多项行业大奖和政府支持，彰显技术实力与品牌公信力。,Vizzle憑藉創新的輕量化AI 3D數碼城市管理平台，獲得多項行業大獎和政府支持，彰顯技術實力與品牌公信力。,"With its innovative lightweight AI 3D digital city management platform, Vizzle has received multiple industry awards and government support, demonstrating its technical strength and brand credibility.",test
Home_Awards_List1_Item1,Home Awards List1 Item1,香港理工大学天使创投支持,香港理工大學天使創投支持,"Hong Kong Polytechnic University, PolyVentures Angel Investment",test
Home_Awards_List1_Item2,Home Awards List1 Item2,香港创新科技署大学科技初创企业资助计划,香港創新科技署大學科技初創企業資助計劃,"The Innovation and Technology Commission, The Technology Start-up Support Scheme for Universities (“TSSSU”)",test
Home_Awards_List1_Item3,Home Awards List1 Item3,香港数码港培育计划支持,香港數碼港培育計劃支持,Cyberport Incubation Program,test
Home_Awards_List1_Item4,Home Awards List1 Item4,香港城市大学Tech 300基金支持,香港城市大學Tech 300基金支持,"Hong Kong City University, Tech 300 Fund",test
Home_Awards_List1_Item5,Home Awards List1 Item5,杭州大运英才计划支持,杭州大運英才計劃支持,Hangzhou Entrepreneurship Talent Project for “Grand Canal” Plan,test
Home_Awards_List1_Title,Home Awards List1 Title,政府与大学支持,政府與大學支持,Government & University Support,test
Home_Awards_List2_Item1,Home Awards List2 Item1,2025年NEXX人工智能与创新奖,2025年NEXX人工智能與創新獎,NEXX AI and Innovation Awards 2025,test
Home_Awards_List2_Item2,Home Awards List2 Item2,第八届中关村国际前沿科技大赛境外赛区领域赛10强队伍,第八屆中關村國際前沿科技大賽境外賽區領域賽10強隊伍,Beijing The 8th Zhongguancun International Advanced Technology Competition Web 3.0 Oversea Track - Top 10,test
Home_Awards_List2_Item3,Home Awards List2 Item3,"香港资讯及通讯科技奖2024：数码娱乐奖""互动设计""金奖、""最佳人工智能""应用奖","香港資訊及通訊科技獎2024：數碼娛樂獎""互動設計""金獎、""最佳人工智能""應用獎","Hong Kong ICT Awards 2024: Digital Entertainment Award ""Interactive Design"" Gold Award, ""Best Artificial Intelligence"" Application Award",test
Home_Awards_List2_Item4,Home Awards List2 Item4,创客中国国际中小企业创新创业大赛10强队伍,創客中國國際中小企業創新創業大賽10強隊伍,Maker in China SME Innovation and Entrepreneurship Global Contest - Top 10,test
